cond1,cond2,leakiness,inference1,inference2,ManipCheck,stigma1,stigma2,stigma3,dis1,dis2,dis3,dis4,dis5,dis6,dis7,dis8,DisShape,DisWeight,cc1,cc2,gender,age,employment,HeightFeet,HeightInches,height,lbs,total_t,z_beg,z_end
1,1,-1,2,2,3,2,2,1,2,7,2,3,6,5,3,4,3,5,3,2,1,21,No,6,1,73,170,5.35,8/17/2012 at 3:04 PM,8/17/2012 at 3:09 PM
2,3,-3,-1,2,-3,1,1,1,2,6,1,2,5,5,1,4,4,6,3,1,1,27,No,6,3,75,190,3.7,8/17/2012 at 3:07 PM,8/17/2012 at 3:11 PM
2,4,-3,3,3,-3,4,6,5,4,4,6,6,6,2,6,4,4,4,3,1,1,28,Yes: full-time,5,6,66,,2.9666667,8/17/2012 at 3:09 PM,8/17/2012 at 3:12 PM
2,3,-2,1,3,-3,5,4,5,4,4,4,5,3,3,4,4,4,5,3,1,1,20,Yes: part-time,6,0,72,150,2.3666666,8/17/2012 at 3:10 PM,8/17/2012 at 3:12 PM
2,2,-2,1,1,-3,3,3,4,4,4,3,3,5,4,4,4,4,4,3,1,1,26,No,5,7,67,165,2.1833334,8/17/2012 at 3:12 PM,8/17/2012 at 3:14 PM
1,1,3,2,2,1,1,1,6,7,4,6,4,3,3,6,1,7,7,3,2,1,30,Yes: part-time,6,0,72,125,5.0833335,8/17/2012 at 3:10 PM,8/17/2012 at 3:15 PM
1,1,0,1,1,1,1,1,5,1,7,3,5,5,1,1,1,5,5,3,2,1,21,Yes: part-time,5,7,67,170,4.3166666,8/17/2012 at 3:13 PM,8/17/2012 at 3:17 PM
1,1,1,0,2,2,1,1,1,1,7,1,1,1,4,2,4,6,5,3,1,1,18,Yes: part-time,6,1,73,170,4.05,8/17/2012 at 3:14 PM,8/17/2012 at 3:18 PM
2,3,-1,2,3,-2,1,1,4,2,4,2,3,2,2,4,2,4,3,3,1,1,27,No,5,10,70,165,2.35,8/17/2012 at 3:18 PM,8/17/2012 at 3:21 PM
2,4,1,1,1,-2,5,5,3,2,6,3,5,3,2,5,3,5,6,3,1,1,33,No,6,0,72,160,7.2,8/17/2012 at 3:14 PM,8/17/2012 at 3:21 PM
2,3,-3,2,0,-3,6,7,7,5,4,2,5,5,3,5,2,5,5,3,1,2,25,Yes: full-time,5,4,64,129,7,8/17/2012 at 3:16 PM,8/17/2012 at 3:23 PM
2,4,0,2,1,0,5,6,4,2,4,4,4,4,3,4,4,3,4,3,2,1,25,Yes: part-time,5,7,67,160,4.133333,8/17/2012 at 3:19 PM,8/17/2012 at 3:23 PM
1,1,2,0,2,2,1,1,1,1,7,1,1,7,7,1,7,6,6,3,2,1,22,Yes: full-time,6,0,72,170,3.95,8/17/2012 at 3:21 PM,8/17/2012 at 3:25 PM
1,1,-2,1,1,1,5,1,6,4,4,5,5,3,2,5,1,6,5,3,2,2,25,Yes: part-time,5,3,63,110,3.5666666,8/17/2012 at 3:23 PM,8/17/2012 at 3:26 PM
2,3,0,0,0,-2,4,5,5,5,4,4,4,4,2,5,3,3,4,3,1,1,23,No,5,11,71,190,3.6166666,8/17/2012 at 3:23 PM,8/17/2012 at 3:26 PM
1,1,-1,-2,1,-2,3,1,3,1,3,3,3,5,2,3,2,4,5,3,2,1,19,Yes: part-time,5,9,69,145,3.6,8/17/2012 at 3:24 PM,8/17/2012 at 3:27 PM
2,4,-2,2,2,-2,5,5,6,5,3,3,5,3,3,5,3,3,3,3,1,2,21,No,5,7,67,170,1.6166667,8/17/2012 at 3:27 PM,8/17/2012 at 3:29 PM
1,1,-3,2,1,-1,5,6,7,6,3,5,5,4,2,4,2,3,4,3,2,1,21,No,5,1,61,200,3.5,8/17/2012 at 3:26 PM,8/17/2012 at 3:29 PM
2,3,-2,1,0,-2,5,4,6,6,5,3,2,5,2,2,2,5,6,3,1,1,27,Yes: full-time,5,9,69,165,4.7,8/17/2012 at 3:28 PM,8/17/2012 at 3:32 PM
2,3,-3,3,3,-3,7,7,7,7,1,7,7,1,1,7,1,1,1,3,1,1,22,No,6,5,77,330,3.6833334,8/17/2012 at 3:34 PM,8/17/2012 at 3:37 PM
