cond1,cond2,ManipCheck,fair,support,inference1,inference2,leakiness,fps1,fps2,fps3,fps4,fps5,fps6,fps7,fps8,fps9,fps10,fps11,fps12,fps13,fps14,cc1,cc2,age,gender,political,lbs,HeightFeet,HeightInches,Height,total_t,z_beg,z_end
1,1,1,1,3,1,2,0,5,5,1,1,1,1,1,,4,6,3,2,6,6,3,2,19,1,6,153,5,9,69,3.7833333,5/4/2010 at 11:30 AM,5/4/2010 at 11:33 AM
2,2,-3,-2,-2,2,0,-2,3,3,4,4,4,4,4,3,3,4,3,4,3,3,3,1,37,2,6,220,5,4,64,3.7166667,5/4/2010 at 2:39 PM,5/4/2010 at 2:43 PM
2,2,-3,3,2,1,1,-2,3,2,4,5,4,5,4,3,2,4,4,4,3,3,3,1,24,1,5,215,6,1,73,3.1166666,5/4/2010 at 3:07 PM,5/4/2010 at 3:10 PM
2,2,1,2,3,-1,-1,1,1,1,4,6,6,6,6,1,1,6,6,6,1,1,3,1,35,1,4,235,6,4,76,3.9,5/4/2010 at 5:37 PM,5/4/2010 at 5:41 PM
1,1,-2,-1,0,3,1,2,6,2,4,4,3,3,4,3,3,4,2,4,3,2,1,2,53,2,2,160,5,3,63,7.6,5/4/2010 at 6:04 PM,5/4/2010 at 6:12 PM
2,3,1,-1,1,0,3,-3,3,3,5,5,4,4,5,4,3,5,3,5,1,1,3,1,21,1,5,250,6,2,74,3.1,5/4/2010 at 7:02 PM,5/4/2010 at 7:05 PM
2,2,-3,-2,-2,2,2,-3,2,2,4,5,4,4,6,3,2,5,3,5,1,1,3,1,58,2,2,160,5,3,63,6.9166665,5/4/2010 at 7:24 PM,5/4/2010 at 7:31 PM
2,2,-3,-2,0,2,0,-3,3,3,4,4,4,4,4,3,3,5,3,5,3,3,3,1,23,2,2,100,5,0,60,4.3333335,5/4/2010 at 9:31 PM,5/4/2010 at 9:35 PM
2,2,3,-2,0,-2,2,-3,1,1,5,6,6,6,6,1,1,6,1,6,1,1,3,1,52,2,5,140,5,4,64,5.55,5/4/2010 at 11:20 PM,5/4/2010 at 11:25 PM
2,3,3,2,3,0,0,3,1,,,,4,4,4,,1,4,,4,1,1,3,1,36,2,2,150,5,10,70,3.9833333,5/5/2010 at 2:49 AM,5/5/2010 at 2:53 AM
2,2,-3,1,-1,1,1,-2,3,4,4,4,5,4,5,3,3,4,3,5,3,4,3,1,25,2,3,123,5,4,64,3.6666667,5/5/2010 at 5:58 AM,5/5/2010 at 6:02 AM
2,4,0,3,0,-2,3,0,2,3,3,4,4,4,4,3,3,4,3,5,3,3,3,1,32,2,4,160,5,10,70,4.55,5/5/2010 at 5:59 AM,5/5/2010 at 6:04 AM
2,2,1,-1,-2,0,0,0,3,3,6,4,5,5,4,4,2,5,4,4,2,3,1,1,29,1,,200,6,0,72,6.483333,5/5/2010 at 6:07 AM,5/5/2010 at 6:14 AM
2,3,-3,-2,-2,3,0,-2,3,2,4,4,4,3,4,3,3,4,3,5,2,2,3,1,38,2,4,154,5,0,60,3.0166667,5/5/2010 at 7:14 AM,5/5/2010 at 7:17 AM
2,4,-3,-3,-3,2,-2,-3,3,4,2,5,5,3,3,5,5,5,3,4,4,4,3,1,22,2,4,150,5,5,65,2.55,5/5/2010 at 7:31 AM,5/5/2010 at 7:33 AM
2,4,-1,3,1,1,1,-2,6,4,3,3,1,2,3,5,4,5,5,4,4,3,3,1,40,2,3,138,5,5,65,2.7833333,5/5/2010 at 8:24 AM,5/5/2010 at 8:27 AM
2,4,-2,-2,-2,2,0,-3,5,5,2,2,3,2,3,5,5,5,5,4,4,5,3,1,61,2,4,250,5,6,66,4.016667,5/5/2010 at 8:29 AM,5/5/2010 at 8:33 AM
2,2,-2,0,0,0,0,0,3,3,4,4,4,4,4,3,3,4,3,4,3,3,3,1,35,2,4,252,5,5,65,4.9166665,5/5/2010 at 8:59 AM,5/5/2010 at 9:04 AM
